text_id,text,hate
nhsm_en_0,"World-Against-Islam Google Search Image: Islam is … bullshit, false, not a religion, a lie, the light, of the devil, wrong, founded, google, fake
",1
nhsm_en_1,"It isn’t Islamophobia when they really are trying to kill you.
",1
nhsm_en_2,"Fuck “Islam Ahmadiyya” .. This shit should not be trending in the UK #TooManyPakis #GTFO
",1
nhsm_en_3,"@usr that ss must be confused. Angels are disgusting foul creatures. Our Gods (Demons) are magnificent beautiful beings
",1
nhsm_en_4,"Your polygragmaticism not withstanding, free speech is a thing. Why be a cunt about it? Also, kike kike kike kike…
",1
nhsm_en_5,"Jews are parasites that rome the earth and therefore must be perished. ln order to cleanse the earth National Socialism must rise again in the order of Satan! 666blacksun.com
",1
nhsm_en_6,"The Jewish Gas Chamber Hoax
",1
nhsm_en_7,"Being called an Anti-Semite by a Jew is the same thing as being called an Infidel by a Muslim. It just doesn’t matter.
",1
nhsm_en_8,"If the holocaust story is true, why is the 6 million figure discussed decades before WWII? Why is the term “holocaust” referenced before the war? Why does a true story need to be defended by threat of prison?",1
nhsm_en_9,"Why does a gorilla always have a frown? Because in ten million years it will be a nigger.
",1
nhsm_en_10,"fuck niggers, faggots, chinks, sand niggers and everyone who isnt white.
",1
nhsm_en_11,"| was born a racist and | will die a racist! | will not rest until every worthless nigger is rounded up and hung, niggers are the scum of the earth!! wPww WHITE America
",1
nhsm_en_12,"proof that niggers are faggot pussies! look al these two queers, a couple of homo thugs!!
",1
nhsm_en_13,"'++ nigger trap, guaranteed to work every time pic.twitter.com
",1
nhsm_en_14,"Whites helpline facilitate the invasion of their own countries. Traitors have no soul, they should be burned at the stake.
",1
nhsm_en_15,"“Where's your mommy and daddy you little #nigger???"" pic.twitter.com/jZzNtlQK3
",1
nhsm_en_16,"I have a problem! so the #Nigger the nigger lover & their half breed turd get a bullet! If you have a problem with Cheerios’ depiction of real life American families, take off your sheet and check the calendar.
",1
nhsm_en_17,"Good morning WHITE people! Fuck you NIGGERS.
",1
nhsm_en_18,"I am literally too mad right now a ARAB won #MissAmerica
",1
nhsm_en_19,"How the fuck does a foreigner win miss America? She is Arab! #idiots
",1
nhsm_en_20,"And the Arab wins Miss America. Classic.
",1
nhsm_en_21,"#ihateserbiaandserbianpeople
",1
nhsm_en_22,"Appallachian Whites are poorer than negroes and they don't chimp out. @usr
",1
nhsm_en_23,"Evolution will work itself out. Whites are awakening. And we will triumph over the muddy degenerate masses of muds like we always have.
",1
nhsm_en_24,MULTICIULTUIRALISM Is GENOCIDE activist pack - |eaflets stickers wristbands stamp by.co.uklihnI1&|&O3g2... #WhiteGenocide #StopWhiteGenocide,1
nhsm_en_25,"My advice of the day: If your a tranny.....go fuck your self! http://t.co/W5G2zhZkU6
",1
nhsm_en_26,"Ready to make headlines. The #LGBT community is full of whores spreading AIDS like the Black Plague. Goodnight. Other people exist, too.
",1
nhsm_en_27,"Can't do that. They support drugs whoring around. They spread AIDS like the Black Plague. Such a slutty community.
",1
nhsm_en_28,"@usr| @usr Trouble is this trannie nonsense has become law without public ever once being consulted. Over our heads! #No2GBT
",1
nhsm_en_29,"proof that niggers are faggot pussies! look al these two queers, a couple of homo thugs!!
",1
nhsm_en_30,"Jamaican killer we can’t deport because he is GAY: Illegal migrant suddenly remembers he is homos… daily.ai/Rp3SLi via @usr
",1
nhsm_en_31,"@usr no problem. I'm concerened about the rise in homosexuality in sport, it's not good it's not too far now and there'll be lads bummin
",1
nhsm_en_32,"@usr how does it feel to wake up everyday to know that your a ragin queer? You've really let down your mam,dad and the people of Cork
",1
nhsm_en_33,"Trannies, your families will never love you. You are living a lie & you know it. End your miserable existence. Commit suicide now.",1
nhsm_en_34,"Reminding feminists world-wide that they are only mad because they're ugly. *From the creator of @usr & TooMessedUp* #YesAllMen #SexistSATQuestions
",1
nhsm_en_35,What's the smartest thing to ever come out of a woman's mouth? Einstein's dick,1
nhsm_en_36,"#DefendEurope #RefugeesNotWelcome National-Action.info
",1
nhsm_en_37,"#Brexit House our homeless veterans before refugees immigrants or economic migrants. Our shame is not helping those that served our nation.
",1
nhsm_en_38,"They're Not Refugees. They're Not Asylum Seekers.They're Not Immigrants. They're INVADERS. #DefendEurope
",1
nhsm_en_39,"@usr @usr @usr you’re acting like a Nazi, Hispanic girl
",1
nhsm_en_40,"How can standing up for the world’s smallest ethnic minority be called racist? Whites are endangered species be proud, it’s alright to be white. Save your country (UK)
",1
